회차,구분,문항,배점,가중치,질문 대상,디테일(역사적 사태),정답여부,실제 대상
78회,심화,1,1,1.5,신석기 시대,청동 방울 등을 의례 도구로 이용하였다.,X,청동기 시대
78회,심화,1,1,1.5,신석기 시대,주먹도끼 등 뗀석기를 만들기 시작하였다.,X,구석기 시대
78회,심화,1,1,1.5,신석기 시대,거푸집을 사용하여 세형 동검을 제작하였다.,X,철기 시대
78회,심화,1,1,1.5,신석기 시대,쟁기 쇠스랑 등의 철제 농기구를 사용하였다.,X,철기 시대
78회,심화,1,1,1.5,신석기 시대,가락바퀴와 뼈바늘을 이용하여 옷을 만들었다.,O,신석기 시대
78회,심화,2,3,4.5,고조선의 변천,연의 장수 진개가 고조선을 침략하였다.,X,고조선의 변천
78회,심화,2,3,4.5,고조선의 변천,우거왕이 한 무제가 파견한 군대에 맞서 싸웠다.,X,고조선의 변천
78회,심화,2,3,4.5,고조선의 변천,위만이 진번과 임둔을 복속시키고 세력을 확장하였다.,X,고조선의 변천
78회,심화,3,2,3,삼한/부여,신성 지역인 소도가 있었다.,O,삼한/부여
78회,심화,3,2,3,삼한/부여,혼인 풍습으로 민며느리제가 있었다.,X,옥저
78회,심화,3,2,3,삼한/부여,위화부 영객부 등의 관청이 있었다.,X,신라
78회,심화,3,2,3,삼한/부여,왕 아래 상가 대로 패자 등의 관직이 있었다.,X,고구려
78회,심화,3,2,3,삼한/부여,읍락 간의 경계를 중시하는 책화가 있었다.,X,동예
78회,심화,4,3,4.5,신라 진흥왕,수도를 웅진으로 옮겼다.,X,백제 문주왕
78회,심화,4,3,4.5,신라 진흥왕,백가의 난을 평정하였다.,X,백제 무령왕
78회,심화,4,3,4.5,신라 진흥왕,금마저에 미륵사를 창건하였다.,X,백제 무왕
78회,심화,4,3,4.5,신라 진흥왕,고흥에게 서기를 편찬하게 하였다.,X,백제 근초고왕
78회,심화,4,3,4.5,신라 진흥왕,달기를 보내 고구려의 도살성을 점령하였다.,O,신라 진흥왕
78회,심화,5,2,3,고구려,지방의 22담로에 왕족을 파견하였다.,X,백제 무령왕
78회,심화,5,2,3,고구려,태학과 경당을 두어 인재를 양성하였다.,O,고구려
78회,심화,5,2,3,고구려,10월에 무천이라는 제천 행사를 개최하였다.,X,동예
78회,심화,5,2,3,고구려,사회 질서를 유지하기 위해 범금 8조를 만들었다.,X,고조선
78회,심화,5,2,3,고구려,물시계인 누각을 만들고 누각박사를 두어 시간을 측정하였다.,X,신라
78회,심화,6,2,3,백제 사비기,서옥제라는 혼인 풍습이 있었다.,X,고구려
78회,심화,6,2,3,백제 사비기,수도에 서시와 남시를 설치하였다.,X,통일신라
78회,심화,6,2,3,백제 사비기,골품에 따라 관직 승진을 제한하였다.,X,신라
78회,심화,6,2,3,백제 사비기,6좌평 아래에 달솔 등의 관등이 있었다.,O,백제 사비기
78회,심화,6,2,3,백제 사비기,을파소를 등용하고 진대법을 시행하였다.,X,고구려 고국천왕
78회,심화,7,1,1.5,삼국 통일 과정,진흥왕이 대가야를 병합하였다.,X,신라 진흥왕
78회,심화,7,1,1.5,삼국 통일 과정,이사부가 우산국을 복속시켰다.,X,신라 지증왕
78회,심화,7,1,1.5,삼국 통일 과정,을지문덕이 살수에서 대승을 거두었다.,X,살수대첩
78회,심화,7,1,1.5,삼국 통일 과정,계백이 이끄는 군대가 황산벌에서 항전하였다.,O,삼국 통일 과정
78회,심화,7,1,1.5,삼국 통일 과정,광개토 대왕이 신라에 침입한 왜를 격퇴하였다.,X,광개토대왕
78회,심화,8,2,3,신라 하대,비담과 염종의 난이 진압되었다.,X,신라 선덕여왕
78회,심화,8,2,3,신라 하대,김흠돌이 반란을 꾀하다 처형되었다.,X,신라 신문왕
78회,심화,8,2,3,신라 하대,김헌창이 웅천주에서 반란을 일으켰다.,O,신라 하대
78회,심화,8,2,3,신라 하대,원광이 왕명으로 걸사표를 작성하였다.,X,신라 진평왕
78회,심화,8,2,3,신라 하대,이차돈의 순교를 계기로 불교가 공인되었다.,X,신라 법흥왕
78회,심화,11,2,3,고려 광종,외침에 대비하여 광군사를 창설하였다.,X,고려 정종
78회,심화,11,2,3,고려 광종,12목을 설치하고 지방관을 파견하였다.,X,고려 성종
78회,심화,11,2,3,고려 광종,관학 진흥을 위해 양현고를 설치하였다.,X,고려 예종
78회,심화,11,2,3,고려 광종,노비안검법을 실시하여 호족 세력을 견제하였다.,O,고려 광종
78회,심화,11,2,3,고려 광종,정계와 계백료서를 지어 관리의 규범을 제시하였다.,X,고려 태조
78회,심화,12,1,1.5,고려의 경제,덕대의 전문적인 광산 경영이 이루어졌다.,X,조선 후기 경제
78회,심화,12,1,1.5,고려의 경제,고추 담배 등 상품 작물이 재배되었다.,X,조선 후기 경제
78회,심화,12,1,1.5,고려의 경제,벽란도를 통한 국제 무역이 활발하였다.,O,고려의 경제
78회,심화,12,1,1.5,고려의 경제,덩이쇠 수출을 통해 낙랑과 교역하였다.,X,가야
78회,심화,12,1,1.5,고려의 경제,청해진을 거점으로 해상 무역을 전개하였다.,X,통일신라
78회,심화,13,1,1.5,여진 대응,강화도로 도읍을 옮겨 항전하였다.,X,몽골 침입
78회,심화,13,1,1.5,여진 대응,박위가 적의 근거지를 토벌하였다.,X,고려 우왕
78회,심화,13,1,1.5,여진 대응,양규가 곽주성을 급습하여 탈환하였다.,X,거란 2차 침입
78회,심화,13,1,1.5,여진 대응,송문주가 죽주성에서 적군을 격퇴하였다.,X,몽골 침입
78회,심화,13,1,1.5,여진 대응,동북 9성을 축조하고 경계를 알리는 비석을 건립하였다.,O,여진 대응
78회,심화,15,2,3,고려의 사회,주자감에서 공부하는 학생이 있었다.,X,발해
78회,심화,15,2,3,고려의 사회,구황촬요를 읽고 있는 지방관이 있었다.,X,조선 명종
78회,심화,15,2,3,고려의 사회,시장을 감독하는 동시전의 관리가 있었다.,X,신라 지증왕
78회,심화,15,2,3,고려의 사회,제위보에서 곡식을 지급받는 농민이 있었다.,O,고려의 사회
78회,심화,15,2,3,고려의 사회,세책가에서 춘향전을 빌리는 부녀자가 있었다.,X,조선 후기 사회
78회,심화,16,2,3,고려 공민왕,배중손이 진도 용장성에서 항전하였다.,X,삼별초 항쟁
78회,심화,16,2,3,고려 공민왕,최영이 홍산 전투에서 큰 승리를 거두었다.,X,고려 우왕
78회,심화,16,2,3,고려 공민왕,유인우 이자춘 등이 쌍성총관부를 수복하였다.,O,고려 공민왕
78회,심화,16,2,3,고려 공민왕,김방경이 이끄는 군대가 일본 원정에 참여하였다.,X,고려 충렬왕
78회,심화,16,2,3,고려 공민왕,만적이 개경에서 노비를 모아 반란을 모의하였다.,X,만적의 난
78회,심화,17,2,3,고려 의천,불교 설화를 중심으로 삼국유사를 지었다.,X,일연
78회,심화,17,2,3,고려 의천,백화 신앙을 바탕으로 백련 결사를 이끌었다.,X,요세
78회,심화,17,2,3,고려 의천,선문염송집을 편찬하고 유불 일치설을 주장하였다.,X,혜심
78회,심화,17,2,3,고려 의천,보현십원가를 지어 불교 교리를 대중에게 전파하였다.,X,균여
78회,심화,17,2,3,고려 의천,이론과 수행을 함께 강조하는 교관겸수를 제시하였다.,O,고려 의천
78회,심화,18,2,3,이자겸/묘청,시무 28조를 국왕에게 올렸다.,X,최승로
78회,심화,18,2,3,이자겸/묘청,화통도감의 설치를 건의하였다.,X,최무선
78회,심화,18,2,3,이자겸/묘청,정변을 일으켜 목종을 폐위하였다.,X,강조
78회,심화,18,2,3,이자겸/묘청,칭제 건원과 금국 정벌을 주장하였다.,O,이자겸/묘청
78회,심화,18,2,3,이자겸/묘청,교정도감이 되어 국정을 장악하였다.,X,최충헌
78회,심화,19,3,4.5,조선 세조,이징옥이 함길도에서 반란을 일으켰다.,O,조선 세조
78회,심화,19,3,4.5,조선 세조,이괄이 난을 일으켜 한양을 점령하였다.,X,조선 인조
78회,심화,19,3,4.5,조선 세조,허적과 윤휴 등 남인이 대거 축출되었다.,X,경신환국
78회,심화,19,3,4.5,조선 세조,위훈 삭제를 주장한 조광조 일파가 제거되었다.,X,기묘사화
78회,심화,19,3,4.5,조선 세조,정여립 모반 사건을 계기로 기축옥사가 발생하였다.,X,기축옥사
78회,심화,20,3,4.5,조선 의금부,수도의 행정과 치안을 담당하였다.,X,한성부
78회,심화,20,3,4.5,조선 의금부,천문 지리 기후 등에 관한 사무를 맡았다.,X,관상감
78회,심화,20,3,4.5,조선 의금부,제학 직제학 등의 관직 외에 검서관이 있었다.,X,규장각
78회,심화,20,3,4.5,조선 의금부,왕에게 경서 등을 강론하는 경연을 주관하였다.,X,홍문관
78회,심화,20,3,4.5,조선 의금부,국왕 직속 사법 기구로 반역죄 강상죄 등을 다루었다.,O,조선 의금부
78회,심화,21,3,4.5,조선 신숙주,훈민정음 해례본 편찬에 참여하였다.,O,조선 신숙주
78회,심화,21,3,4.5,조선 신숙주,최초의 서원인 백운동 서원을 건립하였다.,X,주세붕
78회,심화,21,3,4.5,조선 신숙주,기축봉사를 올려 명에 대한 의리를 내세웠다.,X,송시열
78회,심화,21,3,4.5,조선 신숙주,해주 향약을 시행하여 향촌 교화를 위해 노력하였다.,X,이이
78회,심화,21,3,4.5,조선 신숙주,가례집람을 지어 예학을 조선의 현실에 맞게 정리하였다.,X,김장생
78회,심화,22,2,3,임진왜란,정봉수가 용골산성에서 항쟁하였다.,X,정묘호란
78회,심화,22,2,3,임진왜란,김준룡이 광교산 전투에서 승리하였다.,X,병자호란
78회,심화,22,2,3,임진왜란,김종서가 두만강 일대에 6진을 개척하였다.,X,4군 6진
